package	slot	class	label	count	reccomended
water	env_broad_scale	ENVO:01000028	marine hadal zone biome	0.0	True
sediment	env_broad_scale	ENVO:01000028	marine hadal zone biome	0.0	True
water	env_broad_scale	ENVO:01000029	marine reef biome	0.0	True
sediment	env_broad_scale	ENVO:01000029	marine reef biome	0.0	True
sediment	env_broad_scale	ENVO:01000030	marine hydrothermal vent biome	0.0	True
water	env_broad_scale	ENVO:01000033	oceanic pelagic zone biome	0.0	True
water	env_broad_scale	ENVO:01000034	oceanic sea surface microlayer biome	0.0	True
water	env_broad_scale	ENVO:01000036	oceanic mesopelagic zone biome	0.0	True
water	env_broad_scale	ENVO:01000037	oceanic bathypelagic zone biome	0.0	True
water	env_broad_scale	ENVO:01000039	oceanic hadal pelagic zone biome	0.0	True
water	env_broad_scale	ENVO:01000040	oceanic benthopelagic zone biome	0.0	True
water	env_broad_scale	ENVO:01000041	neritic sea surface microlayer biome	0.0	True
air	env_broad_scale	ENVO:01000041	neritic sea surface microlayer biome	0.0	True
sediment	env_broad_scale	ENVO:01000045	epeiric sea biome	0.0	True
water	env_broad_scale	ENVO:01000045	epeiric sea biome	0.0	True
host-associated	env_broad_scale	ENVO:01000049	marine coral reef biome	0.0	True
sediment	env_broad_scale	ENVO:01000050	marine subtidal rocky reef biome	0.0	True
water	env_broad_scale	ENVO:01000052	marine white smoker biome	0.0	True
sediment	env_broad_scale	ENVO:01000053	marine ultramafic hydrothermal vent biome	0.0	True
sediment	env_broad_scale	ENVO:01000054	marine basaltic hydrothermal vent biome	0.0	True
host-associted	env_local_scale	ENVO:01000058	kelp forest	0.0	True
water	env_broad_scale	ENVO:01000123	marine sponge reef biome	0.0	True
host-associated	env_broad_scale	ENVO:01000123	marine sponge reef biome	0.0	True
water	env_broad_scale	ENVO:01000127	marine cold seep biome	0.0	True
soil	env_broad_scale	ENVO:01000175	woodland biome	0.0	True
soil	env_broad_scale	ENVO:01000178	savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000181	mangrove biome	0.0	True
sediment	env_broad_scale	ENVO:01000181	mangrove biome	0.0	True
plant-associated	env_broad_scale	ENVO:01000181	mangrove biome	0.0	True
soil	env_broad_scale	ENVO:01000187	subtropical savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000188	tropical savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000189	temperate savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000190	flooded savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000208	mediterranean woodland biome	0.0	True
soil	env_broad_scale	ENVO:01000213	subtropical shrubland biome	0.0	True
soil	env_broad_scale	ENVO:01000217	mediterranean shrubland biome	0.0	True
soil	env_broad_scale	ENVO:01000220	tropical woodland biome	0.0	True
soil	env_broad_scale	ENVO:01000222	subtropical woodland biome	0.0	True
soil	env_broad_scale	ENVO:01000223	montane savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000229	mediterranean savanna biome	0.0	True
soil	env_broad_scale	ENVO:01000246	village biome	0.0	True
sediment	env_broad_scale	ENVO:01000253	freshwater river biome	0.0	True
water	env_broad_scale	ENVO:01000253	freshwater river biome	0.0	True
soil	env_local_scale	ENVO:01000333	hillside	0.0	True
water	env_local_scale	ENVO:01000353	marine mesoscale eddy field	0.0	True
soil	env_medium	ENVO:01000427	carbon nanotube enriched soil	0.0	True
soil	env_local_scale	ENVO:01000664	tuff cone	0.0	True
soil	env_local_scale	ENVO:01000669	active geological fault	0.0	True
soil	env_local_scale	ENVO:01000670	vein	0.0	True
water	env_local_scale	ENVO:01000713	flash flood	0.0	True
water	env_broad_scale	ENVO:01000854	tropical marine coral reef biome	0.0	True
host-associated	env_broad_scale	ENVO:01000854	tropical marine coral reef biome	0.0	True
water	env_broad_scale	ENVO:01000858	marine upwelling biome	0.0	True
water	env_broad_scale	ENVO:01000859	tropical marine upwelling biome	0.0	True
built-environment	env_local_scale	ENVO:01000924	plumbing drain	0.0	True
soil	env_local_scale	ENVO:01000995	dry river	0.0	True
sediment	env_local_scale	ENVO:01000995	dry river	0.0	True
soil	env_local_scale	ENVO:01001071	impact crater	0.0	True
sediment	env_broad_scale	ENVO:01001230	tropical marginal sea biome	0.0	True
water	env_local_scale	ENVO:01001336	marine tidal flow	0.0	True
soil	env_medium	ENVO:01001397	ultisol	0.0	True
soil	env_broad_scale	ENVO:01001505	alpine tundra biome	0.0	True
soil	env_medium	ENVO:01001527	plastic-frozen soil	0.0	True
soil	env_medium	ENVO:01001528	friable-frozen soil	0.0	True
soil	env_medium	ENVO:01001616	bare soil	0.0	True
soil	env_medium	ENVO:01001638	frost-susceptible soil	0.0	True
soil	env_broad_scale	ENVO:01001830	tropical biome	0.0	True
soil	env_broad_scale	ENVO:01001831	temperate biome	0.0	True
soil	env_broad_scale	ENVO:01001832	subtropical biome	0.0	True
soil	env_broad_scale	ENVO:01001833	mediterranean biome	0.0	True
soil	env_broad_scale	ENVO:01001834	subpolar biome	0.0	True
soil	env_broad_scale	ENVO:01001835	alpine biome	0.0	True
soil	env_broad_scale	ENVO:01001836	montane biome	0.0	True
soil	env_broad_scale	ENVO:01001837	subalpine biome	0.0	True
soil	env_broad_scale	ENVO:01001838	arid biome	0.0	True
soil	env_local_scale	ENVO:03000117	channel	0.0	True
sediment	env_local_scale	ENVO:03000117	channel	0.0	True
water	env_local_scale	ENVO:03000117	channel	0.0	True
water	env_local_scale	ENVO:2000004	algal bloom	0.0	True
host-associted	env_local_scale	ENVO:2000004	algal bloom	0.0	True
soil	env_medium	ENVO:00001998	soil	13249.0	False
soil	env_broad_scale	ENVO:01000245	cropland biome	6406.0	False
water	env_medium	ENVO:00002011	fresh water	6034.0	False
water	env_medium	ENVO:00002149	sea water	4942.0	False
water	env_medium	CHEBI:15377	water	4301.0	False
sediment	env_broad_scale	ENVO:01000027	marine abyssal zone biome	3992.0	False
sediment	env_local_scale	ENVO:01000073	marine oligotrophic desert	3917.0	False
sediment	env_medium	ENVO:01000001	mud	3917.0	False
water	env_broad_scale	ENVO:00000892	Small lake biome	3287.0	False
water	env_local_scale	ENVO:00000021	freshwater lake	2887.0	False
sediment	env_medium	ENVO:00002007	sediment	1265.0	False
water	env_broad_scale	ENVO:00000891	Large lake biome	1198.0	False
soil	env_local_scale	ENVO:00005755	field soil	976.0	False
plant-associated	env_broad_scale	ENVO:00005801	rhizosphere	905.0	False
sediment	env_medium	ENVO:03000033	marine sediment	903.0	False
plant-associated	env_broad_scale	ENVO:01000245	cropland biome	825.0	False
water	env_local_scale	ENVO:00002149	sea water	743.0	False
water	env_medium	ENVO:00002150	coastal sea water	722.0	False
water	env_local_scale	ENVO:01000007	organic object formed through microbial activity	703.0	False
soil	env_local_scale	ENVO:00002261	forest soil	690.0	False
plant-associated	env_medium	ENVO:01000155	organic material	659.0	False
sediment	env_broad_scale	ENVO:00000447	marine biome	599.0	False
plant-associated	env_local_scale	PO:0009005	root	558.0	False
soil	env_broad_scale	ENVO:00000446	terrestrial biome	544.0	False
soil	env_local_scale	ENVO:00000112	tundra	458.0	False
water	env_local_scale	GAZ:00002510	Southern California Bight	420.0	False
soil	env_local_scale	ENVO:00005750	grassland soil	379.0	False
plant-associated	env_medium	ENVO:00005801	rhizosphere	363.0	False
water	env_broad_scale	ENVO:01000339	polar biome	359.0	False
soil	env_broad_scale	ENVO:00001998	soil	356.0	False
soil	env_local_scale	ENVO:00001998	soil	355.0	False
soil	env_broad_scale	ENVO:00000112	tundra	347.0	False
soil	env_broad_scale	ENVO:01000193	temperate grassland biome	325.0	False
water	env_local_scale	ENVO:00002150	coastal sea water	321.0	False
water	env_local_scale	ENVO:01000044	marine pelagic feature	321.0	False
soil	env_local_scale	ENVO:00005759	alluvial paddy field soil	320.0	False
plant-associated	env_local_scale	ENVO:00000296	rice field	310.0	False
plant-associated	env_medium	ENVO:00002040	wood	298.0	False
soil	env_local_scale	ENVO:00000113	cultivated habitat	295.0	False
water	env_local_scale	ENVO:00000015	ocean	294.0	False
water	env_local_scale	ENVO:01000074	oceanic gyre	294.0	False
water	env_broad_scale	ENVO:01000186	polar desert biome	278.0	False
soil	env_local_scale	ENVO:00002259	agricultural soil	276.0	False
soil	env_broad_scale	ENVO:01000174	forest biome	275.0	False
water	env_medium	ENVO:01000301	estuarine water	271.0	False
water	env_local_scale	ENVO:00002137	brackish estuary	269.0	False
soil	env_medium	ENVO:00005801	rhizosphere	268.0	False
soil	env_local_scale	ENVO:01000352	field	246.0	False
soil	env_local_scale	ENVO:00000116	vineyard	239.0	False
soil	env_broad_scale	ENVO:01000194	montane grassland biome	230.0	False
water	env_broad_scale	ENVO:00002149	sea water	226.0	False
plant-associated	env_broad_scale	ENVO:00000114	agricultural field	220.0	False
water	env_medium	ENVO:00005792	underground water	220.0	False
plant-associated	env_broad_scale	PO:0025034	leaf	219.0	False
soil	env_local_scale	ENVO:00005777	steppe soil	218.0	False
water	env_local_scale	ENVO:00000316	intertidal zone	217.0	False
soil	env_broad_scale	ENVO:01001805	temperate forest	211.0	False
soil	env_broad_scale	ENVO:01000186	polar desert biome	206.0	False
plant-associated	env_broad_scale	ENVO:00000446	terrestrial biome	205.0	False
soil	env_medium	ENVO:01000017	sand	201.0	False
plant-associated	env_broad_scale	ENVO:01001794	temperate broadleaf forest	198.0	False
soil	env_broad_scale	ENVO:01001811	temperate grassland	197.0	False
sediment	env_medium	ENVO:00002113	deep marine sediment	194.0	False
sediment	env_local_scale	ENVO:00002160	estuarine mud	193.0	False
soil	env_broad_scale	ENVO:00000873	freshwater biome	193.0	False
soil	env_local_scale	ENVO:01001209	wetland ecosystem	193.0	False
soil	env_local_scale	ENVO:00000243	freshwater wetland	192.0	False
soil	env_local_scale	ENVO:01001206	grassland ecosystem	192.0	False
