accession	harmonized_name	count
SAMN00030480	molecular_data_type	2
SAMN00030481	molecular_data_type	2
SAMN00030482	molecular_data_type	2
SAMN00030483	molecular_data_type	2
SAMN00030484	molecular_data_type	2
SAMN00030485	molecular_data_type	2
SAMN00030486	molecular_data_type	2
SAMN00030489	molecular_data_type	2
SAMN00030490	molecular_data_type	2
SAMN00030491	molecular_data_type	2
SAMN00030492	molecular_data_type	2
SAMN00030493	molecular_data_type	2
SAMN00030495	molecular_data_type	2
SAMN00030496	molecular_data_type	2
SAMN00030497	molecular_data_type	2
SAMN00030498	molecular_data_type	2
SAMN00030499	molecular_data_type	2
SAMN00030500	molecular_data_type	2
SAMN00030501	molecular_data_type	2
SAMN00030502	molecular_data_type	2
SAMN00030503	molecular_data_type	2
SAMN00030504	molecular_data_type	2
SAMN00030506	molecular_data_type	2
SAMN00030507	molecular_data_type	2
SAMN00030508	molecular_data_type	2
SAMN00030509	molecular_data_type	2
SAMN00030510	molecular_data_type	2
SAMN00030511	molecular_data_type	2
SAMN00030512	molecular_data_type	2
SAMN00030513	molecular_data_type	2
SAMN00030514	molecular_data_type	2
SAMN00030515	molecular_data_type	2
SAMN00030516	molecular_data_type	2
SAMN00030517	molecular_data_type	2
SAMN00030518	molecular_data_type	2
SAMN00030519	molecular_data_type	2
SAMN00030520	molecular_data_type	2
SAMN00030521	molecular_data_type	2
SAMN00030522	molecular_data_type	2
SAMN00030523	molecular_data_type	2
SAMN00030524	molecular_data_type	2
SAMN00030525	molecular_data_type	2
SAMN00030526	molecular_data_type	2
